tc_true,t1,t2,dt,observations,tc_predicted,tc_days_after_t2,check_pass,RMSE,A,B,C1,C2,C,m,omega,phi,optimizer_success
2007-06-01,2005-11-22,2006-10-09,225,226,2007-06-27,261,True,0.014638419649962396,5.861649489395368,-0.002903297283302874,-0.000760051086128509,-0.0011873014590571148,0.001409738418361463,0.5520539946126902,13.0,-2.1402159579361335,True
2007-06-01,2005-09-13,2006-10-09,275,276,2007-03-15,157,True,0.015515440915750245,5.848356647755662,-0.0006946153078258579,0.0001737568019991048,0.00036153737801172716,0.0004011242973699681,0.8077435732868115,8.750760649083649,1.1227844645977771,True
2007-06-01,2005-07-05,2006-10-09,325,326,2006-12-31,83,True,0.01668056380055503,5.858767387777992,-0.0023034948857348714,-0.0008455183903161372,0.0006729601236995558,0.001080637162257764,0.6629178802846604,6.0,2.4693480009134037,True
2007-06-01,2005-04-26,2006-10-09,375,376,2007-04-26,199,True,0.021484775041683633,7.522492635430265,-0.9746903617622704,0.006753347399804377,-0.02640945203698064,0.0272592527042842,0.1,6.0,-1.3204441825740394,True
2007-06-01,2005-02-11,2006-10-09,425,426,2007-04-29,202,True,0.020625337957317434,7.554860043814574,-0.9919668486083508,0.008138046155570455,-0.02627512810093849,0.027506547437854183,0.1,6.0,-1.2704421872436527,True
2007-06-01,2004-12-01,2006-10-09,475,476,2007-06-05,239,True,0.02135918277172347,7.888791654565518,-1.1656657475802499,0.021561694508714563,-0.015159542135183834,0.026357511032636328,0.1,6.0,-0.6127884115851674,True
2007-06-01,2004-09-22,2006-10-09,525,526,2007-08-07,302,True,0.022650973194872984,8.344577413773768,-1.39622616832755,0.023813093136831165,0.006905113121291689,0.024794031377757635,0.1,6.0,0.2822309306728825,True
2007-06-01,2004-07-14,2006-10-09,575,576,2007-11-11,398,True,0.02349527336281496,8.900168484069082,-1.6671673877951596,0.005224475081216484,0.023257741600209658,0.023837317051555423,0.1,6.0,1.3498304577646494,True
2007-06-01,2004-05-04,2006-10-09,625,626,2007-10-10,366,True,0.02298384634084746,8.737990429893213,-1.58960212821274,0.01237125822640453,0.020688962800622157,0.024105626145568364,0.1,6.0,1.0318751135676774,True
2007-06-01,2006-05-15,2006-11-06,125,126,2008-03-12,492,False,0.013276897287845535,4.4949316205897105,0.00468503450833621,1.929557799793674e-06,-0.0010691897445633382,0.0010691914856903412,0.9,6.0,-1.5689916371083286,True
2007-06-01,2006-03-01,2006-11-06,175,176,2007-09-29,327,True,0.017710958254478344,5.950657546657965,-0.0006358347237309277,0.00014944554529856038,9.209923155908237e-05,0.0001755455481160304,0.9,13.0,0.5522989803994099,True
2007-06-01,2005-12-20,2006-11-06,225,226,2007-10-01,329,True,0.016498436248115075,5.98498188036936,-0.00262213286786034,0.00046731819653803995,0.0003191898598487744,0.0005659226656053337,0.7004786986247449,13.0,0.5992420463578078,True
2007-06-01,2005-10-11,2006-11-06,275,276,2007-10-13,341,True,0.01601691052851403,6.006805093495099,-0.003589969519011336,0.0006040687059955885,0.00032462128061445526,0.0006857681659212198,0.6633712124972677,12.926011919817837,0.49311133523415707,True
2007-06-01,2005-08-02,2006-11-06,325,326,2007-07-31,267,True,0.016278564214271627,6.027829234856822,-0.010338967546621477,-2.2459054261798677e-05,-0.0017498050037888452,0.0017499491308043257,0.5220885042431381,10.861882667133827,-1.5836307975048238,True
2007-06-01,2005-05-24,2006-11-06,375,376,2007-02-19,105,True,0.01878036362509465,5.974431205474352,-0.012857655056317929,-0.002288423387802633,-0.0011944971453181931,0.0025814153156776985,0.4877873108202,6.0,-2.660520901061214,True
2007-06-01,2005-03-11,2006-11-06,425,426,2007-04-22,167,True,0.020769585845926915,6.145206833092416,-0.033124900236158904,0.0006091700065774756,-0.0036753542673995717,0.0037254955492935222,0.4144561844353997,6.0,-1.4065449600559838,True
2007-06-01,2004-12-30,2006-11-06,475,476,2007-05-20,195,True,0.020774206271432467,6.6266097114936455,-0.2346401256103657,0.007485221244690264,-0.009912887730690961,0.012421508774832704,0.21832168430801607,6.0,-0.9240392183052061,True
2007-06-01,2004-10-20,2006-11-06,525,526,2007-07-11,247,True,0.022015473565646728,8.168950385542884,-1.308402615129943,0.025183546968103487,-0.0017211676627353345,0.02524229498318091,0.1,6.0,-0.06823880988418513,True
2007-06-01,2004-08-11,2006-11-06,575,576,2007-09-07,305,True,0.023399777118723084,8.646482362801272,-1.5486466160516128,0.01721876522610838,0.016374105087820057,0.02376125403548419,0.1,6.0,0.7602594302799801,True
2007-06-01,2004-06-02,2006-11-06,625,626,2007-09-11,309,True,0.023072394913641766,8.675467252010563,-1.5631677175752758,0.01650410636786609,0.01718432394690861,0.023826172930500916,0.1,6.0,0.8055868499916544,True
