t1,t2,window_dt_requested,observations,window_calendar_days,tc_predicted,tc_days_after_t2,tc_search_upper_days_after_t2,tc_valid_upper_days_after_t2,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success
2007-01-30,2007-03-27,40,41,56.0,2007-04-14,18,18.666666666666657,11.200000000000001,False,0.010262987511443878,0.0043184854190621725,5.741339204797505,0.11680376652655092,0.014145067655023356,-0.011496658092017723,0.018227893083127972,0.1,6.0,-0.6824779533997596,0.10679947667188731,True
2007-01-16,2007-03-27,50,51,70.0,2007-04-18,22,23.33333333333333,14.0,False,0.009847841725948995,0.0049459793196264465,5.689300796510518,0.15231460553543383,0.008932981334394383,0.013311223422257441,0.01603080860461797,0.1,6.288396562220487,0.9797401292861724,0.15109364540847703,True
2006-12-29,2007-03-27,60,61,88.0,2007-04-16,20,29.33333333333333,17.6,False,0.009534312338588433,0.005545089817955337,5.704327724055211,0.14256188283329768,0.015074129537839504,-0.0054459260623913805,0.016027710129666032,0.1,6.0,-0.34668500830672927,0.14824521789654244,True
2006-12-13,2007-03-27,70,71,104.0,2007-04-21,25,34.66666666666666,20.8,False,0.009442445607912305,0.006330344313145148,5.7845759423096,0.08719134615381903,0.01573113602457718,0.004742222209967756,0.016430377722756753,0.1,6.0,0.29279069049151235,0.08844526444154253,True
2006-11-29,2007-03-27,80,81,118.0,2007-05-05,39,39.333333333333314,23.6,False,0.011787206885481447,0.011253997939052438,6.021026148217314,-0.06885600653729294,-0.004082048505199205,0.01648202601046817,0.016979997096835685,0.1,6.0,1.8135777122912142,0.06758541255397175,True
2006-11-15,2007-03-27,90,91,132.0,2007-05-06,40,44.0,26.400000000000002,False,0.011588572247859242,0.01222084561369066,6.03889024062692,-0.08034494230919428,-0.005875513054395002,0.016068494278030355,0.017109008212501987,0.1,6.0,1.921348385721551,0.07826767952810983,True
2006-11-01,2007-03-27,100,101,146.0,2007-05-09,43,48.66666666666666,29.200000000000003,False,0.011457609208450067,0.013258957686129539,6.073802603406699,-0.1026277592411853,-0.009272196623666634,0.013851435393173118,0.01666841002253016,0.1,6.0,2.160691133501883,0.10261702536161381,True
2006-10-18,2007-03-27,110,111,160.0,2007-05-15,49,53.333333333333314,32.0,False,0.011843220398398207,0.015569067503958927,6.1391101055816355,-0.14375911361995083,-0.013892007816061234,0.007191326362432967,0.01564298743886633,0.1,6.0,2.663917655594621,0.15316672958811897,True
2006-10-04,2007-03-27,120,121,174.0,2007-05-24,58,58.0,34.800000000000004,False,0.013595395183868498,0.022365007194872125,6.238128446393627,-0.20524007670612057,-0.014003047209588865,-0.0029169757510250473,0.014303638651966941,0.1,6.0,-2.9362195596936713,0.2391466974476192,True
2006-09-20,2007-03-27,130,131,188.0,2007-05-28,62,62.66666666666666,37.6,False,0.016649933054480374,0.03631585546414684,6.3775207165471715,-0.2915702189096478,-0.009671157277896525,-0.00949113034320101,0.013550381481177636,0.1,6.0,-2.365589069897227,0.35862485903030095,True
