t1,t2,dt,observations,tc_predicted,tc_days_after_t2,global_tc_upper_date,lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success,window_dt_requested
2020-05-08,2021-05-05,251,251,2021-05-06,1,2022-09-17,False,0.018059828608805284,0.08186550975423487,6.0952996047355485,-0.0013993762276604523,-0.0002641534315864782,0.0001094875099019171,0.00028594501262206796,0.9,7.090260670950761,2.748662312064361,0.621201181553988,True,250
2020-03-31,2021-05-05,276,276,2021-06-23,49,2022-09-17,False,0.018242278053979537,0.09184747557324213,6.1442428937957265,-0.001884777149985004,0.0002695373761675394,-0.00012087583844572509,0.0002954003477845595,0.8564852886801213,8.506359674423285,-0.42156976390557743,0.6424290505057056,True,275
2020-02-25,2021-05-05,301,301,2021-09-01,119,2022-09-17,False,0.040901491480738024,0.5035525336100144,6.57537475917282,-0.11123118117912491,-0.004103094534673446,0.003001720125532995,0.005083867471964323,0.30454858016808445,13.0,2.509988402341363,0.5125609963633665,True,300
2020-01-21,2021-05-05,326,326,2021-05-06,1,2022-09-17,False,0.06086642296674585,1.2077391909939792,6.065369814996715,-0.0019833772201015326,-0.0008090623159514744,0.0004811950409401598,0.0009413450475347313,0.7708964358972319,11.625084932603649,2.6050376161995143,0.1397192938588899,True,325
2019-12-09,2021-05-05,351,351,2021-05-07,2,2022-09-17,False,0.061545595467385125,1.3295389728236908,6.039097286118734,-0.0007202275174902638,0.0005406583833129458,8.377067786766553e-05,0.0005471096909368142,0.9,11.189085993502303,0.1537196362495316,0.10588713570989504,True,350
2019-11-04,2021-05-05,376,376,2022-09-17,500,2022-09-17,False,0.06196869442562325,1.4438847773949175,5.8101950711676915,0.0005285638415649745,0.0003493293061246586,-0.00022281754943821215,0.0004143411932878332,0.9,6.0,-0.5677820748699562,0.1913509385963201,True,375
2019-09-30,2021-05-05,401,401,2022-09-17,500,2022-09-17,False,0.06322116941403008,1.6027634210930748,6.097409506347874,-0.0003536571083385036,0.0002020540452197766,0.00010727238625203823,0.00022876451219951493,0.9,8.0990475001233,0.4880682600240922,0.17179174887437376,True,400
2019-08-26,2021-05-05,426,426,2022-09-17,500,2022-09-17,False,0.06235422931974569,1.6563092633893186,6.1437925333197,-0.0005003342108750464,0.0001721820419679237,0.00011656883138721161,0.00020793015179916552,0.9,9.074602565455136,0.5951287010765658,0.23864790403015348,True,425
2019-07-19,2021-05-05,451,451,2022-09-17,500,2022-09-17,False,0.06126825289981224,1.6929632648413033,6.153988429940713,-0.0005327539463295759,-0.00017263551163337112,0.0001116523141315103,0.0002055948908116086,0.9,9.374669680348076,2.567504324071029,0.24877165349388664,True,450
2019-06-14,2021-05-05,476,476,2022-09-17,500,2022-09-17,False,0.059908304702694794,1.7083663668390396,6.148611588808459,-0.0005137986121463256,0.00017119664004253273,0.00011199898976647557,0.00020457776827056165,0.9,9.074303820004012,0.5793308907163702,0.2490942392004806,True,475
2019-05-08,2021-05-05,501,501,2022-09-17,500,2022-09-17,False,0.05861248307247499,1.721147009132505,6.146995410047044,-0.0005062577350969234,0.0001432924314550704,-0.00014370129702975454,0.00020293541751094062,0.9,8.868892739663046,-0.7868228122921408,0.25315524478026086,True,500
2019-03-29,2021-05-05,526,526,2022-09-17,500,2022-09-17,False,0.058533502031837666,1.802165872418462,6.253026124757389,-0.01212061049848703,-0.0030573101932052974,0.0002494135609979794,0.0030674668281640317,0.485397102887617,8.494419674382282,3.0601935003602065,0.22579175867736445,True,525
