t1,t2,observations,tc_predicted,tc_days_after_t2,global_tc_upper_date,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success,window_dt_requested,positive_bubble_confidence,event_date,tc_error_days,abs_tc_error_days,hit_pm_60d,hit_pm_120d,ci_bin
2011-08-26,2014-07-24,726,2014-10-27,95,2015-12-06,True,0.0270107172200313,0.5296742412816016,5.916593322122173,-0.0008235975995826,4.094981647042196e-08,5.141220883229446e-05,5.141222514055316e-05,0.9,13.0,1.5699998271163025,1.1090415791155472,True,725,0.7307692307692307,2015-07-20,-266,266,0,0,High CI
2011-07-21,2014-07-24,751,2014-11-04,103,2015-12-06,True,0.0323004532783746,0.7835327807733345,5.913851939683009,-0.0007984280371279,-9.928008988275136e-06,2.936818835283855e-05,3.1000900786897684e-05,0.9,13.0,1.8967886969549796,1.783038098336372,True,750,0.7307692307692307,2015-07-20,-258,258,0,0,High CI
2013-10-02,2014-07-25,201,2014-12-30,158,2015-12-07,True,0.0147756977032826,0.0438825697663769,5.947967176526723,-0.0041942008079547,0.0001788373124936,-2.796801799015636e-05,0.0001810110338355,0.6225627055493744,12.933261622816897,-0.1551314958929094,1.1153706409458848,True,200,0.6923076923076923,2015-07-20,-202,202,0,0,High CI
2013-08-28,2014-07-25,226,2014-10-07,74,2015-12-07,True,0.014766319981039,0.04927799050683,5.882774232032877,-0.0006520607047674,-4.028237929710927e-05,-4.263623207868496e-05,5.8655932075994335e-05,0.9,7.3956750984495585,-2.3278146034156157,1.3528223646125068,True,225,0.6923076923076923,2015-07-20,-286,286,0,0,High CI
2013-07-23,2014-07-25,251,2014-09-22,59,2015-12-07,True,0.0142987256593892,0.0513178424261013,5.878189642103177,-0.0006616167963799,5.767860173266911e-05,-3.74618676594688e-05,6.877654125042502e-05,0.9,6.652831133463407,-0.5760189620584185,1.3013742223105265,True,250,0.6923076923076923,2015-07-20,-301,301,0,0,High CI
2013-06-18,2014-07-25,276,2015-12-05,498,2015-12-07,True,0.0151492860870312,0.063342239829294,6.256991868548276,-0.0013936474776134,-8.83078257535495e-05,0.0001009786543262,0.0001341452970433,0.9,6.0,2.2893542516657504,1.558363403336093,True,275,0.6923076923076923,2015-07-20,138,138,0,0,High CI
2013-04-04,2014-07-25,326,2014-10-05,72,2015-12-07,True,0.0183820682638654,0.110155541372315,5.885952452419247,-0.0006899855409851,-7.656116334915468e-05,2.787477239610063e-05,8.147769430654232e-05,0.9,7.165455006121897,2.79242545195696,1.0636530639850594,True,325,0.6923076923076923,2015-07-20,-288,288,0,0,High CI
2013-02-26,2014-07-25,351,2014-10-01,68,2015-12-07,True,0.0179643921884415,0.1132745047317496,5.884538384087255,-0.0006904326071578,-1.7410339011901706e-05,7.819223691868241e-05,8.010708969159163e-05,0.9,7.010073242756792,1.7898830871881573,1.1065480916123578,True,350,0.6923076923076923,2015-07-20,-292,292,0,0,High CI
2013-01-22,2014-07-25,376,2015-03-01,219,2015-12-07,True,0.0177977628791753,0.11910189667726,5.957597637093508,-0.0007856035201176,-3.435369110276033e-05,2.139077830346089e-05,4.046901887631682e-05,0.9,12.748322062025103,2.5846755183675287,1.3704721929573107,True,375,0.6923076923076923,2015-07-20,-141,141,0,0,High CI
2012-12-10,2014-07-25,401,2015-02-25,215,2015-12-07,True,0.0173122571889384,0.1201854138393566,5.95651827756482,-0.0007880529346269,-3.115975295772502e-05,2.6766693487954312e-05,4.107780525617877e-05,0.9,12.745238000176451,2.431888175393999,1.354698714474881,True,400,0.6923076923076923,2015-07-20,-145,145,0,0,High CI
