t2,total_fits,valid_fits,mean_tc,median_tc,mean_rmse,positive_bubble_confidence
2010-10-18,23,0,2011-02-08 17:44:20.869565184,2011-01-25,0.04354011336921528,0.0
2010-10-25,23,0,2011-02-24 01:02:36.521739008,2011-03-10,0.0430224451248426,0.0
2010-11-01,23,0,2011-02-23 14:36:31.304347904,2011-03-17,0.04256872501946036,0.0
2010-11-08,23,0,2011-03-09 11:28:41.739130368,2011-03-24,0.04195258957686166,0.0
2010-11-15,23,0,2011-03-05 01:02:36.521739008,2011-03-15,0.04119649892362221,0.0
2010-11-22,23,0,2011-03-21 07:18:15.652173824,2011-04-02,0.04065815585046566,0.0
2010-11-29,23,0,2011-03-23 17:44:20.869565184,2011-04-05,0.04022210050214923,0.0
2010-12-06,23,0,2011-03-28 03:07:49.565217280,2011-04-07,0.039642222525168254,0.0
2010-12-13,23,0,2011-03-20 15:39:07.826086912,2011-01-26,0.0389111997248904,0.0
2010-12-20,23,0,2011-03-19 03:07:49.565217280,2011-02-07,0.03832104114649246,0.0
2010-12-28,23,0,2011-03-27 09:23:28.695652096,2011-01-31,0.037862701085714295,0.0
2011-01-05,23,0,2011-04-07 14:36:31.304347904,2011-01-31,0.037270736986370366,0.0
2011-01-12,23,0,2011-04-14 11:28:41.739130368,2011-02-01,0.036565976589567464,0.0
2011-01-19,23,0,2011-04-23 09:23:28.695652096,2011-02-03,0.036020283918870744,0.0
2011-01-26,23,0,2011-04-25 09:23:28.695652096,2011-02-03,0.03562581918643177,0.0
2011-02-02,23,0,2011-05-11 14:36:31.304347904,2011-02-28,0.035003906170141416,0.0
2011-02-09,23,0,2011-05-02 17:44:20.869565184,2011-02-23,0.03422601088848445,0.0
2011-02-16,23,0,2011-05-25 22:57:23.478260992,2011-03-05,0.03358036170582483,0.0
2011-02-23,23,1,2011-05-16 19:49:33.913043456,2011-03-12,0.03309852610069491,0.043478260869565216
2011-03-02,23,0,2011-06-25 11:28:41.739130368,2011-07-25,0.032534973027852555,0.0
2011-03-09,23,0,2011-07-01 18:46:57.391304448,2011-07-23,0.03175261011117695,0.0
2011-03-16,23,1,2011-07-23 16:41:44.347826176,2011-08-03,0.031824309725452915,0.043478260869565216
2011-03-23,23,0,2011-08-18 21:54:46.956521728,2011-08-15,0.03169841015838459,0.0
2011-03-30,23,0,2011-08-28 08:20:52.173913088,2011-09-02,0.03102683972406568,0.0
2011-04-06,23,0,2011-09-13 12:31:18.260869632,2011-09-06,0.0303694700846115,0.0
2011-04-13,23,0,2011-09-13 11:28:41.739130368,2011-09-14,0.029681993804942332,0.0
2011-04-20,23,0,2011-09-28 11:28:41.739130368,2011-09-27,0.029305907442848757,0.0
2011-04-29,23,0,2011-10-04 11:28:41.739130368,2011-10-12,0.028559502734187357,0.0
2011-05-06,23,0,2011-10-10 13:33:54.782608640,2011-10-19,0.028061496789058893,0.0
2011-05-13,23,0,2011-10-18 15:39:07.826086912,2011-10-24,0.027565749469821932,0.0
2011-05-20,23,0,2011-10-31 05:13:02.608695552,2011-10-31,0.027413881520773092,0.0
