t1,t2,window_dt_requested,observations,window_calendar_days,tc_predicted,tc_days_after_t2,tc_search_upper_days_after_t2,tc_valid_upper_days_after_t2,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success
2022-06-17,2022-11-07,100,101,143.0,2022-12-24,47,47.66666666666666,28.6,False,0.01367101063178757,0.018876549701139323,5.905982265528461,0.020942249104635716,0.007666685353555399,0.003914522615130158,0.00860822581109408,0.359353833712242,6.55404105422176,0.47208261138643026,0.13338985339273393,True
2022-06-02,2022-11-07,110,111,158.0,2022-12-29,52,52.66666666666666,31.6,False,0.01855224264053561,0.03820461347625716,5.92566483593975,0.0013912218623407296,-0.0005023850461896784,0.00023472877973548705,0.0005545163069478805,0.9,8.320770096724651,2.704503958848388,0.2713695149658932,True
2022-05-18,2022-11-07,120,121,173.0,2023-01-03,57,57.66666666666666,34.6,False,0.018995042939248204,0.04365821040792985,5.875054020507172,0.009046331332984414,-0.0005201506645572686,-0.0023521818115190916,0.002409007261981708,0.5878848543026164,8.61547005752898,-1.78842935648694,0.25624044227910714,True
2022-05-04,2022-11-07,130,131,187.0,2023-01-08,62,62.333333333333314,37.4,False,0.020370942555220057,0.05436176437703788,5.21954542410005,0.4980559439535346,0.005769238988039133,-0.02304845083819894,0.02375952871043498,0.1,8.631864777606163,-1.3255266854330576,0.24284864094263006,True
2022-04-20,2022-11-07,140,141,201.0,2023-01-13,67,67.0,40.2,False,0.019761330956019684,0.055061938362621195,5.199757537730681,0.5082953579480693,0.02109215683738054,0.010712605414495202,0.023656690276100133,0.1,8.931126422058119,0.46994380916410217,0.24057800690774342,True
2022-04-04,2022-11-07,150,151,217.0,2023-01-18,72,72.33333333333331,43.400000000000006,False,0.01907211805106877,0.054925598730039375,5.182153043944788,0.5169297223247593,-0.019600715228232785,0.012787076577168897,0.02340293496227894,0.1,9.280244642687398,2.5635475021640035,0.23801358898158004,True
2022-03-21,2022-11-07,160,161,231.0,2023-01-23,77,77.0,46.2,False,0.0186680580615397,0.05610791907803181,5.199742464961756,0.5042304980197322,0.0036415792585006088,-0.022172875647965648,0.022469924654882352,0.1,9.683099263590588,-1.4080137764973408,0.23174646061485787,True
2022-03-07,2022-11-07,170,171,245.0,2023-01-27,81,81.66666666666663,49.0,False,0.02133108984134217,0.0778076323431193,5.274497863325305,0.4564218225269671,-0.021489107848744964,-0.005092277032937003,0.022084226079153647,0.1,10.581659256862245,-2.908914475002784,0.1953126820443755,True
2022-02-21,2022-11-07,180,181,259.0,2023-02-01,86,86.33333333333331,51.800000000000004,False,0.02157757017775845,0.08427206779447245,5.239956503067544,0.4759722264698906,1.404129132384635e-05,-0.02168787281269418,0.02168787735804178,0.1,10.778971880369333,-1.5701489009508194,0.20360443052353938,True
2022-02-07,2022-11-07,190,191,273.0,2023-02-02,87,91.0,54.6,False,0.024463854283130828,0.11430971177977539,5.174333817321622,0.5157208162881812,-0.01618961974429097,0.010981306322056667,0.019562537565550583,0.1,10.32679122386723,2.545584157094579,0.2552842818059176,True
2022-01-24,2022-11-07,200,201,287.0,2023-01-02,56,95.66666666666663,57.400000000000006,False,0.025604547085010254,0.13177415911712992,5.304566200796113,0.4477111940869917,-0.005420472104024861,0.018076908989868218,0.01887209994829643,0.1,8.080611187565607,1.862121131918906,0.2935847648518344,True
2022-09-30,2022-11-11,30,31,42.0,2022-11-24,13,14.0,8.4,False,0.008716652115782647,0.002355380747334921,6.620968570418274,-0.41860450311010133,-0.00670759093727704,-0.0034398347655723374,0.007538185418008845,0.11360192585479006,8.69457030626411,-2.667736059377292,0.7255622025785379,True
2022-09-16,2022-11-11,40,41,56.0,2022-11-18,7,18.666666666666657,11.200000000000001,False,0.014266600710743841,0.008344971729431664,6.430396654895965,-0.30879007019096344,0.011589321490207076,-0.0038400852744691905,0.012208956856282632,0.1,6.0,-0.31996166338602566,0.4215348805333064,True
2022-09-02,2022-11-11,50,51,70.0,2022-12-04,23,23.33333333333333,14.0,False,0.01674123617928833,0.01429371842934634,6.053050068239639,-0.0014726652796104498,-0.0002454428601482384,0.0009721431823126647,0.0010026487742548448,0.9,6.0,1.8181040186017396,0.22031622399951295,True
2022-08-19,2022-11-11,60,61,84.0,2022-12-09,28,28.0,16.8,False,0.018127896737726416,0.02004585904815399,6.030698070827657,-0.0006627227218928154,-0.0008535730559140485,0.0004734515800604717,0.000976085734166935,0.9,6.0,2.6351709107516954,0.10184393112636249,True
2022-08-05,2022-11-11,70,71,98.0,2022-12-13,32,32.66666666666666,19.6,False,0.018191116547277047,0.023495087207799793,6.0083200326139306,-4.783636894868887e-06,-0.0009185372795202026,-0.00019022267283758636,0.0009380273978567205,0.9,6.0,-2.937386263661453,0.000764951573770487,True
